Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
['message presentment'],['pdf'],"April 8th, 2019",8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,Y,['sodium'],Y,na,B
"['[ IMPORTANCE] Parole Ratification Required On kent. edu April quintuplet, 2019, seven: twenty nine PM Account Refrence Acc ID: 35878U9LC8']","['one clock time confirmation, avoid login interruption, password confirmation']","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,['sodium'],Y,Microsoft,B
['ÊMarch Statement - Rockwell kent'],['payroll have be submitteed.'],"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,['atomic number 11'],Y,na,B
['ÊRE: Your Office 365 Patronage Essentials Pecker is ready'],"['office365 is ready. Defrayal, cite card']","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,['Thank you'],Y,offcie 365,B
['[ Important] Login Critical review On Kent Substance abuser'],['microsoft password revue'],"ÊApril 2nd, 2019",12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,Y,['atomic number 11'],Y,Microsoft,B
['New Facsimile Subject matter Fax. com Report [11 ]'],['witness attachment'],"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,['atomic number 11'],Y,na,B
['Coaching Question'],['coaching my word'],"March 31st, 2019",11.02am,sun,na,"inquiry, employment",Y,Y,['Thanks'],Y,na,B
['Line'],['survey attached'],"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,['atomic number 11'],Y,na,B
['From The Desk Of Mr William C. Dudley'],"['union reserve bank, record of owing payment with federal government,']","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"['Truly,']",Y,na,B
['New fax from: Facsimile machine Armed service. ...'],['novel fax'],"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,['atomic number 11'],na,na,B
['ÊMake Kent Res publica Home'],['subject matter'],"ÊMarch 27th, 2019",5.41am,wed,read this message,doc,Y,Y,['Yours in Servic'],Y,na,B
['trio / twenty six * * * Due'],['pdf file'],"March 26th, 2019",1.52pm,tue,file ,shared doc,na,na,['atomic number 11'],Y,Premier1,B
['Kennard is inviting you to join forces on Past times Due Invoice 100219'],['invoice referable'],"ÊMarch 26th, 2019",9.09pm,tue,open,"invoice, payment",Y,Y,['Thanks'],Y,Microsoft,B
"[""ÊI ' M SORRY, Excuse insideÉ""]","['net business, approach']","March 24th, 2019",7.09pm EDT,na,follow this link,"access, hidden, serious, ",Y,Y,['atomic number 11'],Y,na,B
['Re: Office staff 365 - Ensure Your Account before is be deleted'],['offcie 365 essentials is quick'],"ÊMarch 22nd, 2019",9.57am,fri,sign in to the office 365 Admin center,"invoice,deleted, account",na,ba,['sodium'],Y,Office 365,B
['us post office # 0210 -'],['Hither is the purchase ordering in relation to client request'],"March 22nd, 2019",10.07am,fri,#DownloadPO,"request, gift card",na,na,['Thank you'],Y,na,B
['ÊRE: quotation STATEMENT'],['Please confirm if quoting is uncommitted for command below'],"March 21st, 2019",3.18am,thur,StatementPDf,"confirm, statement",Y,Y,['Thank you'],Y,na,B
"['Hither \' s a way to "" earn while you learn']","['ttrade stock, supplement income']","March 21st, 2019",10.04pm,na,click here eatch his video,"earn, income",Y,Y,['sodium'],Y,na,B
['ÊPreliminary CD Software system Hour angle Been Generated'],['Your documents s can be find at'],"ÊMarch 20th, 2019",12.48pm,wed,Doc Link,package,Y,Y,['Sincerely yours'],Y,na,B
['Sound recording Received From'],['ms phonation audio'],"March 20th, 2019",7.52AM,wed,na,attachment,Y,y,['Yours in Servic'],Y,na,B
['Clamant Activity Requested From You'],['You have the smear reserved only we need you to make out your activation now'],"March 19th, 2019",8.00AM EDT,na,activation now,"requested, immidiately, confirm, activation",Y,Y,['Thanks'],Y,na,B
"[""ÊYou ' ve 2 Voice mail""]",['voice subject matter for you'],"March 15th, 2019",12.08pm,fri,VoiceMessage.way,"message, ",Y,Y,['Regard'],Y,Office 365,B
['Reckon Job'],['line of work possition apply'],"March 15th, 2019",8.47AM,fri,na,"job, employment,",Y,Y,"['Best esteem,']",Y,na,B
['Referee:'],['most of your incoming e mail imputable to your ring mail session expiration'],"March 13th, 2019",1.30PM,wed,clickhere,"expiration, upgrade, re-validation, pending",Y,Y,"['Best Regard,']",Y,na,B
['no matter'],['You received VM from'],"March 13th, 2019",12.14PM,wed,Play Audio-26,na,na,na,['sodium'],na,na,B
"['Good sidereal day,']",['atomic number 11'],"March 13th, 2019",6.00PM,wed,na,"payment, deceived",Y,Y,['Thanks'],Y,na,B
['( Your Requested Username for job. rockwell kent. edu )'],['your requested username for jons. kent'],"March 12th, 2019",10.56am,tue,Display full email,request,Y,y,['sodium'],Y,na,B
['Your February account program line is useable.'],['account statement usable'],"March 12th, 2019",9.12pm,na,view statement,"acount, statement, access, ",Y,Y,['sodium'],Y,Paypal,B
['Opcuanet - (Yearly Conference Topic Mesmerism )'],['dr. link'],"March 12th, 2019",1.10pm,tue,display full email,"conference, education",Y,Y,['sodium'],Y,na,B
['ÊIntuit Financial backing: Activity Required'],['Your bank retuned the unmediated deposit for the payroll'],"March 12th, 2019",2.29pm,tue,na,"action, required, payroll, bank",Y,Y,['sodium'],Y,na,B
['ÊCc: (ray: Workshop at John Carroll University this Saturday )'],['link for e mail opning'],"March 12th, 2019",8.20am,tue,display full email,workshop,na,na,['sodium'],na,na,B
['ATC / PTA Broadcast'],['see bind below'],"March 12th, 2019",2.08pm,tue,Lawsui case file: CF-416523.pdf,progran,Y,Y,['atomic number 11'],Y,na,B
['message notice'],['i drive'],"March 11th, 2019",3.02pm,mon,go to onedrive,"notification, file",Y,Y,['sodium'],Y,one drive,B
['Example Coach Needed'],['attend for hiring motorbus'],"March 11th, 2019",12.13pm,mon,na,"job, needed, hire, available",Y,Y,['Esteem'],Y,na,B
['INVOICE # 89774 - doctor'],['i drive message'],"ÊMarch 11th, 2019",9.11am,mon,reqeest link,"invoice, shared",Y,Y,['atomic number 11'],Y,na,B
['Re: Right payload information needed.'],"['package, speech savoir faire, seems wrong']","March 11th, 2019",8.11am,mon,delivery address from,"shipment, incorrect, delivery",Y,Y,['sodium'],Y,na,B
['Action at law required: Confirm your information to keep a PayPal Balance'],['paymal money sending issue'],"March 10th, 2019",02.00AM EST,na,confirm your info here,"required, cofirm, action, money, account",Y,Y,['sodium'],Y,na,B
['You have young Google Drive Doc message'],['share document'],"March 9th, 2019",11.52AM,sat,view document,"file, share,docx",Y,Y,['sodium'],Y,Google Drive,B
['Your Earning For March 2019.'],['payroll make statement for direct deposition usable'],"March 8th, 2019",5.13AM,fri,na,"payroll, statement, admin",Y,Y,['atomic number 11'],Y,na,B
['1KH0 / 613FV1 / u.s.a.'],['cancel surgical operation'],"March 7th, 2019",4.38PM,thur,na,diseases,Y,Y,['Yours'],Y,na,B
['Call Delivery note from Trusted Source'],['newfangled voice'],"March 7th, 2019",9.17am,thur,Download,"file, share,docx",Y,Y,['atomic number 11'],Y,na,B
['Vista Secure PDF'],['has sent you your important written document'],"March 7th, 2019",8.03am,thur,view in one drive,"secure, review",na,Y,['Paying attention'],Y,na,B
['ÊListen to Voicenote'],['voicemessage apprisal'],"March 7th, 2019",12.42am,thur,na,notification,Y,Y,['atomic number 11'],Y,na,B
['Terminal figure of Serving.'],['your written document has been complete'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['atomic number 11'],na,na,B
['Preliminary CD and Other Closedown Doc Attached Closing Set for 03 / 08 / 2019'],['your document hold been completed'],"ÊMarch 7th, 2019",1.41pm,wed,view complete document,"closing, attachment",na,na,['atomic number 11'],na,na,B
['Apprisal'],['ms check alert'],"March 6th, 2019",9.43am,wed,na,"verification, notification, update, account, deleted,",Y,Y,['Esteem!'],Y,na,B
['Urgent Write up Notice'],['your mailboc failed to sync'],"March 5th, 2019",5.20am,tue,URL Redacted,"urgent, notice, account, failed, password, ",Y,Y,['atomic number 11'],Y,na,B
['YOUR DIPLOMATIC PACKAGE'],"['bundle deposit, realiability']","March 3rd, 2019",5.22am,sun,na,"notify, package, ",Y,Y,"['Thank you and One sincerely Remain,']",Y,na,B
['Payroll Earning Statement for Marching music 2019'],"['make assertion, parroll website']","March 1st, 2019",5.56am,fri,URL Redacted,"account, payroll, statement, employee",na,na,['atomic number 11'],na,na,B
['Êsent you a document to survey and sign'],['text file'],"February 28th, 2019",11.27am,thur,review document,"review, sign",na,na,['sodium'],na,DocuSign,B
['Electronic mail Apprisal (Treat Urgent )'],['email invoice recently sign'],"ÊFebruary 27th, 2019",12.43pm,fri,plick click here for verication to avoid ,notification,na,na,['atomic number 11'],na,na,B
['( Secure Message) Ra: Monitor: invoice 81736265'],['secure electronic mail'],"February 26th, 2019",15.13 EST,na,open secure email,"invoice, secure",Y,Y,['Yttrium'],Y,na,B
['Ê (Secure Electronic mail) Ra: Open Invoice MR87103'],['secure e mail'],"February 26th, 2019",9.47am,tue,open secure email,"secure, invoice",Y,Y,['Wye'],Y,na,B
"['[ Reminder] Subject matter Delayed on kent. edu E mail Account Today, xxvi Feb 2019. Air combat command Id: 22683aBHnH']",['department of commerce attached'],"February 26th, 2019",12.29pm,tue,confirm,"confirm, delay",Y,Y,['Atomic number 39'],Y,office 365,B
['Êimportant (rhenium: Will you equal one of the xv for KSU scholar - jock? )'],['message attach'],"February 26th, 2019",4.27am,tue,open message,"important, ",Y,Y,['Atomic number 39'],Y,na,B
['Tansaction Repayment from Patti'],['refund ratification'],"February 22nd, 2019",2.59pm,fri,get RFF receipt,"refund, transaction, confirmation, payment",Y,Y,['Yttrium'],Y,na,B
"['Ê [IMPORTANCE] Password Substantiation on kent. edu Email Accounting Today, 22 February 2019. Acc Gem state: 42775V65yf']","['one clip ratification,']","February 22nd, 2019",11.26am,fri,confirm here,"verification, account, confirmation",Y,Y,['Atomic number 39'],Y,microsoft,B
['New Substance from a Caller'],['voice substance for you'],"February 22nd, 2019",10.16am,fri,review audio,"message, ",Y,Y,['Atomic number 39'],Y,na,B
['Transaction for account 36726579'],['thanks for working with uracil'],"February 21st, 2019",12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,['Wye'],Y,na, B
['Purchasing Decree # 0361'],['this follow purchasing gild'],"February 21st, 2019",11.53am,na,download,"purchasing, order, request",Y,Y,['Thank you'],Y,na,B
"['Ian shared "" eVoice Substance "" with you.']",['doctor attached'],"February 21st, 2019",2.30pm,thur,open,"shared, message",Y,Y,['sodium'],Y,Microsoft,B
['Your incoming email delivery reports'],['e mail'],"February 20th, 2019",4.49pm,wed,na,report,Y,y,['atomic number 11'],Y,na,B
['novel file'],['indian file'],"February 20th, 2019",11.54am,wed,go to onedrive,review,Y,Y,['sodium'],Y,Microsoft,B
['Invoice Due'],['file for invoice'],"February 20th, 2019",11.26am,wed,go to onedrive,"review, sign",Y,Y,['atomic number 11'],Y,Microsoft,B
['Your incoming email delivery reports'],['data file'],"ÊFebruary 19th, 2019",7.20pm,tue,na,"delivery, report",Y,Y,['sodium'],Y,na,B
['Notification Release Varsity letter'],['filr'],"February 19th, 2019",9.10am,tue,na,"notification, required, action, delayed",Y,Y,['Atomic number 11'],Y,office365,B
['URGENT'],['are you at spot'],"February 14th, 2019",3.59Pm,thur,na,"urgent,",Y,Y,['sodium'],Y,na,B
['Defrayment from'],['this constitute your information today'],"February 14th, 2019",7.45am,thur,URL Redacted,"payment,notice, ",na,na,"['Good Regards,']",na,na,B
['Sales event Contract bridge PO: # 224906999'],['2 new subject matter'],"February 12th, 2019",9.32am,tue,review ,"sales, review",Y,Y,['thanks'],Y,na,B
['new bank note from Ian'],['your pecker is here'],"February 12th, 2019",2.15pm,tue,invoice connect,"bill, ",Y,Y,['thank you'],Y,na,B
['Rhenium: Payment Account'],['please insure your'],"February 12th, 2019",2.17am EST,na,na,"invoice, payment",Y,Y,['Thank you'],Y,na,B
['KSU Misdemeanor'],"['email have be reposted, regulation']","February 9th, 2019",11.21am EST,na,URL Redacted,"reported, regulations, policies",Y,Y,['Unfeignedly'],Y,na,B
['We recieved your postulation'],['request to inactivate'],"January 29th, 2019",2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,Y,['atomic number 11'],Y,offcie 365,B
['URGENT REQUEST'],['Ar you usable? No calls text only 9513072XXX'],1/9/20,na,na,na,Urgent,Y,"Chancellor
Berkeley University of California",['well REGARDS'], cchristberkeley.edu@gmail.com,na,NB
['Quick interrogation'],"[""1 ' molarity in a meeting and need help fetch some Amazon Endowment Card""]",1/9/20,na,na,na,Quick,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,NB
['* * * * * * Office sentence menage employment helper ask * * * * * *'],['Hello RECIPIENT I am desperately seeking for a Clerical / Administrative Help to work for pine tree state on campus at their own free time while I am away on my workplace and earn basic wage $ 250 weekly. This is a flexible job that requires little to no prior experience. Let me know you are interested and I will take you in.'],10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",['Truly'],dvdmson @ gmail . Com,na,NB
['Ê vendor defrayal'],['Are you around? I demand to pay a marketer with the blucard.'],"12/27/18
 ",na,na,na,"gift card, meeting",Y,"University of California, Berkeley",['atomic number 11'],ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB
['Quick dubiousness'],"[""1 ' m in a meeting and need assistance get some Virago Gift Cards""]","12/27/18
 ",na,na,na,shared,Y,"University of California, Berkeley",['atomic number 11'],XXX.subdomain.berkeley.edu,na,
['ÊXXX has shared a written document on Google Doc with you'],['XXX has call for you to view the following document:'],"5/3/2017
",na,na,Open in Docs,"invite, share",na,,['atomic number 11'],ÊXXX@berkeley.edu,na,BCC
['Substance from human resourcefulness'],['Dear XXXXX @ berkeley. edu (link sends atomic number 99 - mail) An information text file hold been send off to you by the Human being Resources Department. Click here to Login to see the papers. Thank you!'],4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",['Thank you'],HR@berkeley.edu,na,NB
['Library Report'],"['Dear Student, Your access to your library account is expiring soon due to inactivity. To continue to have admission to the subroutine library robert william service, you moldiness reactivate your account. For this aim, click the web address below or copy and paste it into your web web browser. A successful login will activate your account and you will be redirected to your library profile. https: / / auth. berkeley. edu / cas / login? service = https% 3a% 2f% If you are not able to login, please contact <Name Removed> at xxxxx @ berkeley. edu (link sends e - ring armour) for immediate assistance.']",4/1/17,2:09 PM,Sat,plain url,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","['Unfeignedly,']",na,na,NB
['Your Dropbox File'],"[""Hello, You barely received a file done Dropbox Share Applications programme. Please click below and logarithm in to view file cabinet. View file Every time a champion installs Dropbox, we ' ll give both of you 1 GB of space for free! Need even more space? Upgrade your Dropbox and get 1 TB (1, 000 GB) of space""]",1/30/17,na,Mon,view file,"file, dropbox",Y,The Dropbox Team,['Happy Dropboxing.'],sass@tamhsc.edu(link sends e-mail),Dropbox,B
['granny'],"['Dear User, This message is to inform you that your access to bCourses will soon breathe out. You will have to login to your account to proceed to have access to this service. You need to reactivate it just by logging in through the following URL. A successful login will activate your report and you testament be redirect to your bCourses page. http: / bcourses. berkeley. edu / login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm / If you are not able to login, please contact Danielle Patel at dapatel @ berkeley. edu (link sends e - postal service) for immediate assistance.']",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","['Unfeignedly,']",dapatel@berkeley.edu,na,B
['Update Portal site'],"['The Human being Resources / Payroll Department has completed the final paystub change for 2017 tax year. To view the changes to your paystub info and view / download your W - ii forms (2014 - 2016 tax years ), blend to: Adp Portal We hope you bump the change to your paystub information useful and welcome any comments you may have.']",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"['Yours Truly,']",director.stics@boyaca.gov.co,na,NB
['FedEx Shipment Update'],"['Dear Client, We could not deliver your item. You seat review and publish complete details of shipping obligation on your gild. Thanks']",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,['Thanks'],xxxxxx@berkeley.edu,FedEx,B
['ÊImportant Declaration from Chancellor Saint nicholas B. Dirk'],"['Well Morning Bishop berkeley Family, Please read attach for an important declaration from Prime minister Nicholas B. Dirks']",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","['Thanks,']",penweltm@miamioh.edu,na,B
['Email Report Upgrade'],"['Dear User, Someone else was trying to employ your Berkeley i.d. to contract into iCloud via a web browser. Date and Time: 28 October 2016, 1: 38 PM Browser: Firefox Operating System: Windows Location: Thailand If the information above looks familiar, you can disregard this electronic mail. If you have non late and believe someone may be seek to access your account, you should Click Here <hypertext transfer protocol: / / goo. gl / rk87KW >.']",Ê10/28/2016Ê,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"['Sincerely yours,']",Êitcsshelp@berkeley.edu,na,B
['Irregular Activeness'],"['From: BankOfAmerica Subject: Irregular Activity Date: 10 / 20 / 2016 7: 27 AM We deliver detected irregular activity on your account on the escort 10 / 20 / 2016. For your protection, we have temporary limited your account. In order to regain full access to your account, you must verify this activity before you can continue using your bill. We have sent you an fond regard, open it and follow the steps to verify your account. Formerly completed, please allow up to 48h to update. Copyright © 2016 BankOfAmerica, All rights reserve IrregularActivityFile. html']",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",['sodium'],na,na,B
['Message containing Locky malware'],"['Hello, Please sign the attach contract with our technological avail companionship for 2016 ð 2017. We would appreciate your quick reception.']",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B
['Messages contain Locky malware'],"['Hi, The monthly fiscal statement is impound within the electronic mail. Please review it before processing.']",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B
['Full of life Info'],"[""Hello, Ê Please refer to the full of life information 1 ' ve shared with you using Google Drive. Ê ClickÊhttps: / / world wide web. google. com / effort / docs / file0116Êand mansion in to view details..""]","May 23, 2016Ê",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",['Compliments'],na,na,B
['bCourses Phish Flack'],"['Beloved User, This message is to inform you that your access to bCourses testament soon expire. You will have to log in to your account to continue to have access to this service. You need to reactivate it just by logging in done the following universal resource locator. A a successful login will activate your account, and you will be redirected to your bCourses page. http: / / bcourses. berkeley. cnea. gq / login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm / If you are not able to login, delight contact Mary Patel at mpatel @ berkeley. edu (link sends e - mail) for immediate assistance.']",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",['Unfeignedly'],mpatel@berkeley.edu,na,B
['Your account consume be Iimited untiI we try from you'],"['your account has make up suspened, as an error was detected in your information. The reason for the error follow non certain, but for secuirty cause, we have suspended your account statement temporarily.']",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,['sodium'],Acces@up.com,PayPal,NB
['rhenium: Notice from @ rescue. org'],"['Hello Everyone, In that location will be additional IT maintenance today between 10am Ð 11am. During this metre, some IT systems and applications use by the IRC globally may be affected, and you may experience brief outage. Please upgrade your mailboxes (size to 20. 0GB ). by clicking information technology SYSTEM AND MAINTENANCE.']",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,['atomic number 11'],Ashley.Mathew@rescue.org,na,NB
['Concluding Reminder You Must Update Your Apple Accounting Information!'],"[""Hello, We ' ve notice that some of your account information come out to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID. Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >. Wondering why you got this email? When you assume ' t regularly update your Apple ID information, Apple will require you to signalise in by following the link in a verification email and update your information. This is to help protect your identity and keep your account secure. Apple Support""]",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,['atomic number 11'],Appel@support.com,na,NB
['Help Desk \x89 ÛÜ Notice.'],['We observe unknown IP approach on our date base data processor system our security need you to verify your account for good security kindly Click Here and verify your explanation. \x89 ÛÜ Aid Desk \x89 ÛÜ'],3/4/16,4:00 PM,na,Click Here ,"unknown, notice",Y,Help DeskÛÜ,['sodium'],jjdoe@capousd.org,,NB
['Google Docs Download'],['You have got a pending incoming download docs shared with you via Google docs'],2/22/2016Ê,5:45 AM,na,Secure Message,Download,na,na,['atomic number 11'],Google@Googledocss.com,Google Docs,BN
['2015 W - 2 argument'],"[""I need all our employee ' s reference copies of 2015 W - two wages and tax statement, i am working on a reappraisal and if you can work on the W2 ' s and have information technology charge to me as an attachment this morning that will be splendid. Via electronic mail would be appropriate.""]","Feb 22, 2016Ê",8:17 AM,Mon,na,"Tax, attachment",Y,na,['Respect.'],President@ucop.edu,na,B
['Your access give birth been disabled'],"[""Dear User Your Itunes - ID suffer been disabled. You ' ve place your history under the hazard of termination by non keeping the correct informations. Please verify your account every bit soon as possible. Ready to chink? Click here to receive back your account.""]",2/21/16,4:33 PM,,Click here,"disable account access, termination, ",Y,,"['Truly,']",no_reply@appsupport.com,na,NB
['Dear Email Substance abuser'],"['Your password volition expire in two clarence day, Click Here to re - interchange your password straight off.']",2/9/16,5:38 PM,,Click here,"expire, password, immidiately",Y,"
IT- Help Desk","['Thank you,']",jdoe@seedschoolmd.org,na,NB
['Help Desk / Word Update'],['Password will expire in two days ÊClick HereÊTo Validate E - mail'],2/2/16,5:01 AM,,Click here,"expire, validate",Y,IT-Service Help Desk,"['Thank you,']",John.doe@medford.k12.or.us,na,NB
['Record Update'],['This exist an pressing request to update your employment record at the U. S Section of Labor. Update'], 1/18/2016 ,1:57 PM,,UpdateÊ,"update, urgent,employment",Y,"U.S Dept. of Labor
Frances Perkins Building, 
200 Constitution Ave., NW, 
Washington, DC 20210",['Thank you'],records@dol.gov,Department of Labor,NB
['Authoritative Update'],"['As we prepare to start the 2016 Tax filling season, we have undergone slender changes in the filling process to make filling for your refund easier and to prevent unnecessary delays. Part of the variety let in updating our database with your information. Please ensure to carefully complete this confirmation to avoid hitches in processing your refund. We take sent you an attachment, open it and follow the steps to verify your profile.']",Ê1/15/2016,2:58 PM,,na,"update, IRS, TAX",Y,IRS Service,['sodium'],irs@services.com,na,NB
['DHL EXPRESS text file'],"['Your parcel (shipping document) arrived at the post office. Here is your Shipping Document / Invoice and copy of DHL receipt for your track which includes the bill of lading and DHL tracking number, the new Import / Export insurance policy supplied by DHL Express. Please kindly check the tie to confirm consequently if your address is correct, before we submit to our outlet office for dispatch to your destination.']",1/15/2016Ê,6:47 AM,,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,['sodium'],office@korloycompany.ro,na,NB
['IMPORTANT TAX return key DOCUMENT AVAILABLE'],"['Dear: Accounting Owner, Our records indicate that you are enrolled in the University of California paperless W2 Programme. As a result, you do not receive a paper W2 simply instead receive e - mail notification that your online W2 (i. e. "" paperless W2 "") is prepared and ready for viewing. __ Your W2 is ready for viewing under Employee Self Service. Logon at the following link: Click Hither to Logon If you have trouble logging in to Employee Self Serving at the link above, please contact your Payroll Department for support. If you would like to un - enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Saving Choice webpage and follow the instructions.']",1/6/16,5:53:32 AM,,Click Here ,"TAX, W2, important",na,,['atomic number 11'],ÊESSW2@berkeley.edu,na,NB
['Rhenium: X - PHP - Originate - Playscript: 1336: NPS. php'],"[""Dear Dr. <recipient ' s name slay >; I recently read your last article and it was very useful in my field of research. Iodine inquire, if possible, to send me these articles to employ in my current research: 1 - http: / / auth. berkeley. eduh. in / <link removed> 2 - http: / / world wide web. sciencedirect. com / science / article / pii / S1644966515000825 (contact is external) Thanks for you Cooperation in Advance. John Doe Department of Civil and Environmental Technology University of Alberta Phone: (30) XXX - XXXX - - 21878cacb2d3a784678d12d61f1136d7 - -""]",1/2/16,Ê09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,['Thanks for you Cooperation in Rise.'],john.doe@ulberta.ca,na,NB
['Your account on the verge of resolution!!'],"['Dear Client, Recently your account embody review and flag because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, delight swear your informations by logging in to our Litigations Manager.']", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,['atomic number 11'],support@ppl.com,Pay.service secure,NB
['ÊURGENT: Your New Wage Notification'],"['Hello, You have an authoritative email from the Human Resources Department with regard to your December 2015 Paycheck This electronic mail is enclosed in the Marquette University secure network, hence access it below Access the documents hither <http: / / gabrielramon. represent / <link removed> * * * Ensure your login credentials are correct to avoid cancellations * * Faithfully Human Resource University of California, Berkeley']",12/10/15,7:22 AM,"Thu,",URL,URGENT,Y,"Human Resources
University of California, Berkeley",['Reliably'], HR@berkeley.edu,na,NB
['petition'],"['Hi, a nimble substance before it skips my mind again. Ace need you to purchase some gift card from the store today. We intend to reward some staff with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce information technology.']","July 16th, 2019",5.22.48PM EDT,na,,"Request, gift card",Y,na,['atomic number 11'],na,na,B
['Lesson Coach Take'],['Some hiring stuffs for motorcoach'],"July 16th, 2019",12.50pm,Tue,,"Needed, employment hire",Y,Colman,['Heed'],Y,na,B
"['Company from Rockwell kent Admin on 16 July, 2019']",['vociferation missed'],"July 16th, 2019",5.12pm,Tue,Na,hiring,Y,Kent support,['Regrads'],Y,Microsoft,B
['response AS SOON AS POSSIBLE'],"['Bank, crucial matter to discuss with late client world health organization is dead. Asking for wide point data']","July 14th, 2019",11.33am,sun,Email,important,na,,['Compliments'],Y,Na,B
['Cinque M 123310719'],['outcry missed'],"July 10th, 2019",3.29pm,wed,na,missed call,na,na,['sodium'],Y,"Microsoft, Office 365",B
['invite you to collaborate on filess'],['some shred written document'],"July 10th, 2019",7.56pm,wed,file ,shared,na,na,['atomic number 11'],na,Microsoft,B
['VM Message attach'],['call miss'],"July 9th, 2019",12.37pm,tue,na,missed call,na,na,['atomic number 11'],na,Office 365,B
['ÊVerification Process.'],"['account verification, microsoft write up in rockwell kent']","July 8th, 2019",8.55am,mon,na,"verification, access",Y,na,['Sunshine'],Y,na,B
['Audio receive'],['audio recording'],7/8/19,2.09 pm,mon,na,audio,Y,kent support,['sodium'],na,na,B
['One exist demand FOR YOUR SUPPORT.'],['Someone miss lifr in Libyan civil state of war. Help kin'],"ÊJuly 5th, 2019",3.18PM,Fri,email,support,Y,na,['sodium'],na,na,B
"['portion out "" DOCX "" with you.']",['shared docx'],"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,['sodium'],na,microsoft word,B
['Single file stimulate been damaged'],['shared docx'],"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,['atomic number 11'],na,Google Drive,B
