Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
['Transaction for invoice 36726579'],['thanks for work with us'],"February 21st, 2019",12.12pm,thur,link url,"transaction, payment, account, invoice",Y,Y,['Wye'],Y,na, B,transaction for invoice  thanks for work with us
['Purchasing Fiat # 0361'],['this is buy parliamentary procedure'],"February 21st, 2019",11.53am,na,download,"purchasing, order, request",Y,Y,['Thank you'],Y,na,B,purchasing fiat   this is buy parliamentary procedure
"['Ian share "" eVoice Message "" with you.']",['md attached'],"February 21st, 2019",2.30pm,thur,open,"shared, message",Y,Y,['sodium'],Y,Microsoft,B,ian share  evoice message  with you md attached
['new file cabinet'],['filing cabinet'],"February 20th, 2019",11.54am,wed,go to onedrive,review,Y,Y,['sodium'],Y,Microsoft,B,new file cabinet filing cabinet
['Invoice Due'],['filing cabinet for invoice'],"February 20th, 2019",11.26am,wed,go to onedrive,"review, sign",Y,Y,['atomic number 11'],Y,Microsoft,B,invoice due filing cabinet for invoice
['Your incoming email bringing reports'],['file cabinet'],"ÊFebruary 19th, 2019",7.20pm,tue,na,"delivery, report",Y,Y,['atomic number 11'],Y,na,B,your incoming email bringing reports file cabinet
['Notification Press release Letter'],['filr'],"February 19th, 2019",9.10am,tue,na,"notification, required, action, delayed",Y,Y,['Sodium'],Y,office365,B,notification press release letter filr
['URGENT'],['constitute you at office'],"February 14th, 2019",3.59Pm,thur,na,"urgent,",Y,Y,['atomic number 11'],Y,na,B,urgent constitute you at office
['Payment from'],['this exist your info today'],"February 14th, 2019",7.45am,thur,URL Redacted,"payment,notice, ",na,na,"['Best Regard,']",na,na,B,payment from this exist your info today
['raw note from Ian'],['your bill is hither'],"February 12th, 2019",2.15pm,tue,invoice connect,"bill, ",Y,Y,['thank you'],Y,na,B,raw note from ian your bill is hither
['Ra: Requital Invoice'],['please check your'],"February 12th, 2019",2.17am EST,na,na,"invoice, payment",Y,Y,['Thank you'],Y,na,B,ra requital invoice please check your
['KSU Violation'],"['email has be reposted, regulation']","February 9th, 2019",11.21am EST,na,URL Redacted,"reported, regulations, policies",Y,Y,['Unfeignedly'],Y,na,B,ksu violation email has be reposted regulation
['We recieved your asking'],['asking to deactivate'],"January 29th, 2019",2.11pm,tue,cancel,"request, cancel, deactivate, ",Y,Y,['sodium'],Y,offcie 365,B,we recieved your asking asking to deactivate
['URGENT asking'],['Are you useable? No calls text only 9513072XXX'],1/9/20,na,na,na,Urgent,Y,"Chancellor
Berkeley University of California",['BEST gaze'], cchristberkeley.edu@gmail.com,na,NB,urgent asking are you useable no calls text only xxx
['Fast question'],"[""1 ' mebibyte in a meeting and pauperization help getting some Virago Gift Cards""]",1/9/20,na,na,na,Quick,Y,"University of California, Berkeley",['atomic number 11'],XXX.subdomain.berkeley.edu,na,NB,fast question   mebibyte in a meeting and pauperization help getting some virago gift cards
['* * * * * * Component meter home plate body of work helper want * * * * * *'],['Hello RECIPIENT I am urgently search for a Clerical / Administrative Assistant to work out for me on campus at their own free time while I am away on my work and earn basic salary $ 250 weekly. This comprise a elastic job that requires small to no prior experience. Permit me know you are interested and 1 will fill you in.'],10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",['Unfeignedly'],dvdmson @ gmail . Com,na,NB,      component meter home plate body of work helper want       hello recipient i am urgently search for a clerical  administrative assistant to work out for me on campus at their own free time while i am away on my work and earn basic salary   weekly this comprise a elastic job that requires small to no prior experience permit me know you are interested and  will fill you in
['Ê vendor defrayal'],['Ar you around? Unity need to pay a vendor with the blucard.'],"12/27/18
 ",na,na,na,"gift card, meeting",Y,"University of California, Berkeley",['atomic number 11'],ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB, vendor defrayal ar you around unity need to pay a vendor with the blucard
['Quick interrogative'],"[""Iodine ' m in a meeting and need help getting some Amazon river Talent Card""]","12/27/18
 ",na,na,na,shared,Y,"University of California, Berkeley",['sodium'],XXX.subdomain.berkeley.edu,na,Unknown,quick interrogative iodine  m in a meeting and need help getting some amazon river talent card
['ÊXXX has shared a papers on Google Docs with you'],['XXX has ask over you to view the undermentioned document:'],"5/3/2017
",na,na,Open in Docs,"invite, share",na,Unknown,['atomic number 11'],ÊXXX@berkeley.edu,na,BCC,xxx has shared a papers on google docs with you xxx has ask over you to view the undermentioned document
['Subject matter from human resources'],['Dear XXXXX @ george berkeley. edu (link sends e - mail) An information document has be station to you by the Human Resource Section. Pawl here to Login to see the document. Thank you!'],4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",['Thank you'],HR@berkeley.edu,na,NB,subject matter from human resources dear xxxxx  george berkeley edu link sends e  mail an information document has be station to you by the human resource section pawl here to login to see the document thank you
['Library Accounting'],"['Dear Student, Your access to your library account is expiring soon due to inactivity. To continue to have access code to the library services, you must reactivate your account. For this purpose, click the entanglement address below or copy and paste it into your web browser. A successful login will activate your story and you testament be redirected to your library profile. https: / / auth. berkeley. edu / cas / login? service = https% 3a% 2f% If you are non able to login, please contact <Epithet Removed> at xxxxx @ berkeley. edu (associate sends e - mail) for immediate assistance.']",4/1/17,2:09 PM,Sat,plain url,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","['Unfeignedly,']",na,na,NB,library accounting dear student your access to your library account is expiring soon due to inactivity to continue to have access code to the library services you must reactivate your account for this purpose click the entanglement address below or copy and paste it into your web browser a successful login will activate your story and you testament be redirected to your library profile    auth berkeley edu  cas  login service   a f if you are non able to login please contact  at xxxxx  berkeley edu associate sends e  mail for immediate assistance
['Your Dropbox Single file'],"[""How do you do, You just received a file through Dropbox Share Application. Please click below and log in to regard file. View file Every prison term a ally installs Dropbox, we ' ll generate both of you 1 gi of space for free! Need even more space? Upgrade your Dropbox and get 1 TB (1, 000 GB) of space""]",1/30/17,na,Mon,view file,"file, dropbox",Y,The Dropbox Team,['Happy Dropboxing.'],sass@tamhsc.edu(link sends e-mail),Dropbox,B,your dropbox single file how do you do you just received a file through dropbox share application please click below and log in to regard file view file every prison term a ally installs dropbox we  ll generate both of you  gi of space for free need even more space upgrade your dropbox and get  tb   gb of space
['nan river'],"['Dear Drug user, This message be to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access code to this service. You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page. http: / bcourses. george berkeley. edu / login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm / If you are not able to login, please contact Danielle Patel at dapatel @ berkeley. edu (link air es - mail) for immediate assistance.']",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","['Sincerely yours,']",dapatel@berkeley.edu,na,B,nan river dear drug user this message be to inform you that your access to bcourses will soon expire you will have to login to your account to continue to have access code to this service you need to reactivate it just by logging in through the following url a successful login will activate your account and you will be redirected to your bcourses page   bcourses george berkeley edu  logindzvfirgidokifizotklpfyhapngfoohbfowfmblbelbmcbynmkrdqjsmjmmbphotsfjxlqgzijdxguwemfbynexdtjsmbnypdcemhm  if you are not able to login please contact danielle patel at dapatel  berkeley edu link air es  mail for immediate assistance
['Update Portal'],"['The Man Resources / Payroll Department has completed the final paystub changes for 2017 tax year. To view the changes to your paystub information and scene / download your W - 2 forms (2014 - 2016 taxation eld ), give up the ghost to: Adp Portal vein We hope you find the changes to your paystub information useful and welcome any comments you english hawthorn have.']",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"['Yours Sincerely,']",director.stics@boyaca.gov.co,na,NB,update portal the man resources  payroll department has completed the final paystub changes for  tax year to view the changes to your paystub information and scene  download your w   forms    taxation eld  give up the ghost to adp portal vein we hope you find the changes to your paystub information useful and welcome any comments you english hawthorn have
['FedEx Shipment Update'],"['Dear Client, We could not deliver your item. You can brush up and publish complete details of shipping duty on your lodge. Thanks']",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,['Thanks'],xxxxxx@berkeley.edu,FedEx,B,fedex shipment update dear client we could not deliver your item you can brush up and publish complete details of shipping duty on your lodge thanks
['ÊImportant Announcement from Chancellor St. nicholas Group b. Dirks'],"['In force Morning Berkeley Family, Please understand attached for an important declaration from Chancellor Nicholas B. Dirks']",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","['Thanks,']",penweltm@miamioh.edu,na,B,important announcement from chancellor st nicholas group b dirks in force morning berkeley family please understand attached for an important declaration from chancellor nicholas b dirks
['Email Account Rise'],"['Honey User, Someone else was trying to use your Bishop berkeley ID to sign into iCloud via a web web browser. Date and Time: 28 October 2016, 1: 38 PM Web browser: Firefox Operating System: Windows Location: Siam If the information above looks familiar, you buttocks disregard this email. If you have not recently and believe someone may be trying to access your account, you should Clack Here <http: / / goo. gl / rk87KW >.']",Ê10/28/2016Ê,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"['Truly,']",Êitcsshelp@berkeley.edu,na,B,email account rise honey user someone else was trying to use your bishop berkeley id to sign into icloud via a web web browser date and time  october    pm web browser firefox operating system windows location siam if the information above looks familiar you buttocks disregard this email if you have not recently and believe someone may be trying to access your account you should clack here 
['Irregular Bodily process'],"['From: BankOfAmerica Subject: Irregular Activity Date: 10 / 20 / 2016 vii: 27 AM We have detected irregular activity on your account on the date 10 / 20 / 2016. For your protection, we have irregular limited your report. In order to regain full access to your news report, you must verify this activity before you can continue using your account. We have sent you an attachment, open it and follow the steps to verify your account. Once completed, please give up up to 48h to update. Copyright © 2016 BankOfAmerica, All rights reserve IrregularActivityFile. html']",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",['atomic number 11'],na,na,B,irregular bodily process from bankofamerica subject irregular activity date      vii  am we have detected irregular activity on your account on the date      for your protection we have irregular limited your report in order to regain full access to your news report you must verify this activity before you can continue using your account we have sent you an attachment open it and follow the steps to verify your account once completed please give up up to h to update copyright   bankofamerica all rights reserve irregularactivityfile html
['Messages moderate Locky malware'],"['Hi, Please signal the attached declaration with our technical service of process company for 2016 ð 2017. We would appreciate your spry reception.']",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B,messages moderate locky malware hi please signal the attached declaration with our technical service of process company for    we would appreciate your spry reception
['Messages containing Locky malware'],"[""Hawai'i, The monthly financial statement constitute attached within the e mail. Please retrospect information technology before processing.""]",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"['King regards,']",ÊCurtis.8271@brasiltelecom.net.br,na,B,messages containing locky malware hawaii the monthly financial statement constitute attached within the e mail please retrospect information technology before processing
['Vital Information'],"[""Howdy, Ê Please refer to the full of life info I ' ve apportion with you using Google Drive. Ê ClickÊhttps: / / www. google. com / drive / docs / file0116Êand sign in to view detail..""]","May 23, 2016Ê",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",['Respect'],na,na,B,vital information howdy  please refer to the full of life info i  ve apportion with you using google drive  click   www google com  drive  docs  fileand sign in to view detail
['bCourses Phish Attack'],"['Dear User, This message is to inform you that your entree to bCourses will shortly expire. You will have to log in to your account to continue to have access to this service. You need to reactivate it just by logging in through the following URL. A a successful login will activate your account, and you will equal redirected to your bCourses page. http: / / bcourses. berkeley. cnea. gq / login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm / If you are not able to login, please contact Mary Patel at mpatel @ berkeley. edu (link sends e - post) for immediate assistance.']",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",['Sincerely yours'],mpatel@berkeley.edu,na,B,bcourses phish attack dear user this message is to inform you that your entree to bcourses will shortly expire you will have to log in to your account to continue to have access to this service you need to reactivate it just by logging in through the following url a a successful login will activate your account and you will equal redirected to your bcourses page    bcourses berkeley cnea gq  logindzblbokifizotklqgzijdxvfirgiddcemhlpfyhapngfoohbfowfmguwemfbynexdtjsmbnypelbmcbynmkrdqjsmjmmbphotsfjxm  if you are not able to login please contact mary patel at mpatel  berkeley edu link sends e  post for immediate assistance
['Your history has been Iimited untiI we try from you'],"['your account statement cause been suspened, as an misplay was detected in your informations. The reason for the wrongdoing is non sure, merely for secuirty reasons, we suffer suspended your account temporarily.']",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,['atomic number 11'],Acces@up.com,PayPal,NB,your history has been iimited untii we try from you your account statement cause been suspened as an misplay was detected in your informations the reason for the wrongdoing is non sure merely for secuirty reasons we suffer suspended your account temporarily
['rhenium: Observation from @ saving. org'],"['Hi Everyone, There will equal additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be impress, and you may experience brief outages. Please upgrade your letter box (sizing to twenty. 0GB ). by clicking IT SYSTEM AND MAINTENANCE.']",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,['atomic number 11'],Ashley.Mathew@rescue.org,na,NB,rhenium observation from  saving org hi everyone there will equal additional it maintenance today between am  am during this time some it systems and applications used by the irc globally may be impress and you may experience brief outages please upgrade your letter box sizing to twenty gb  by clicking it system and maintenance
['Last Admonisher You Must Update Your Malus pumila Account Info!'],"[""Hello, We ' ve noticed that some of your account information appears to be missing or incorrect, we need to verify your account statement information in gild to continue using your Malus pumila ID. Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >. Wondering why you got this email? When you don ' t regularly update your Orchard apple tree ID information, Apple will require you to sign in by following the link in a verification email and update your information. This is to help protect your identity and save your account secure. Apple Support""]",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,['atomic number 11'],Appel@support.com,na,NB,last admonisher you must update your malus pumila account info hello we  ve noticed that some of your account information appears to be missing or incorrect we need to verify your account statement information in gild to continue using your malus pumila id please verify your account information by clicking on the link below sign in using your apple id to start the process verify now  wondering why you got this email when you don  t regularly update your orchard apple tree id information apple will require you to sign in by following the link in a verification email and update your information this is to help protect your identity and save your account secure apple support
['Help Desk \x89 ÛÜ Bill.'],['We detected obscure IP access on our particular date base computer organisation our security requires you to aver your report for secure surety kindly Click Here and verify your accounting. \x89 ÛÜ Help Desk \x89 ÛÜ'],3/4/16,4:00 PM,na,Click Here ,"unknown, notice",Y,Help DeskÛÜ,['atomic number 11'],jjdoe@capousd.org,Unknown,NB,help desk x  bill we detected obscure ip access on our particular date base computer organisation our security requires you to aver your report for secure surety kindly click here and verify your accounting x  help desk x 
['Google Commerce Download'],['You have a pending incoming download docs shared with you via Google commerce department'],2/22/2016Ê,5:45 AM,na,Secure Message,Download,na,na,['atomic number 11'],Google@Googledocss.com,Google Docs,BN,google commerce download you have a pending incoming download docs shared with you via google commerce department
['2015 W - 2 financial statement'],"[""I take all our employee ' s reference copies of 2015 Watt - 2 wages and tax assertion, i am working on a review and if you can act on the W2 ' second and have it transport to me as an attachment this morning that will be splendid. Via electronic mail would embody appropriate.""]","Feb 22, 2016Ê",8:17 AM,Mon,na,"Tax, attachment",Y,na,['Esteem.'],President@ucop.edu,na,B, w   financial statement i take all our employee  s reference copies of  watt   wages and tax assertion i am working on a review and if you can act on the w  second and have it transport to me as an attachment this morning that will be splendid via electronic mail would embody appropriate
['Your access has make up invalid'],"[""Lamb User Your Itunes - ID has been disabled. You ' ve place your account under the danger of termination by not keep the correct info. Please verify your account as soon as possible. Quick to check up on? Click hither to draw backward your account.""]",2/21/16,4:33 PM,Unknown,Click here,"disable account access, termination, ",Y,Unknown,"['Truly,']",no_reply@appsupport.com,na,NB,your access has make up invalid lamb user your itunes  id has been disabled you  ve place your account under the danger of termination by not keep the correct info please verify your account as soon as possible quick to check up on click hither to draw backward your account
['Dear Email Exploiter'],"['Your password will choke in 2 day, Click Here to re - change your parole immediately.']",2/9/16,5:38 PM,Unknown,Click here,"expire, password, immidiately",Y,"
IT- Help Desk","['Thank you,']",jdoe@seedschoolmd.org,na,NB,dear email exploiter your password will choke in  day click here to re  change your parole immediately
['Aid Desk / Password Update'],['Password will expire in 2 days ÊClick HereÊTo Validate Es - mail'],2/2/16,5:01 AM,Unknown,Click here,"expire, validate",Y,IT-Service Help Desk,"['Thank you,']",John.doe@medford.k12.or.us,na,NB,aid desk  password update password will expire in  days click hereto validate es  mail
['Record Update'],['This is an urgent postulation to update your employment record at the U. S Section of Trade union movement. Update'], 1/18/2016 ,1:57 PM,Unknown,UpdateÊ,"update, urgent,employment",Y,"U.S Dept. of Labor
Frances Perkins Building, 
200 Constitution Ave., NW, 
Washington, DC 20210",['Thank you'],records@dol.gov,Department of Labor,NB,record update this is an urgent postulation to update your employment record at the u s section of trade union movement update
['Of import Update'],"['As we prepare to start the 2016 Tax filling season, we have undergone slight change in the filling process to have filling for your refund easier and to prevent unnecessary delays. Part of the changes admit updating our database with your information. Please insure to carefully complete this verification to avoid hitches in processing your refund. We have sent you an attachment, open it and come after the steps to verify your profile.']",Ê1/15/2016,2:58 PM,Unknown,na,"update, IRS, TAX",Y,IRS Service,['atomic number 11'],irs@services.com,na,NB,of import update as we prepare to start the  tax filling season we have undergone slight change in the filling process to have filling for your refund easier and to prevent unnecessary delays part of the changes admit updating our database with your information please insure to carefully complete this verification to avoid hitches in processing your refund we have sent you an attachment open it and come after the steps to verify your profile
['DHL EXPRESS DOCUMENT'],"['Your parcel (shipping document) arrived at the post office. Here is your Shipping Document / Invoice and copy of DHL receipt for your tracking which include the federal reserve note of lade and DHL tracking number, the new Import / Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your destination is correct, before we submit to our outlet office for dispatch to your destination.']",1/15/2016Ê,6:47 AM,Unknown,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,['sodium'],office@korloycompany.ro,na,NB,dhl express document your parcel shipping document arrived at the post office here is your shipping document  invoice and copy of dhl receipt for your tracking which include the federal reserve note of lade and dhl tracking number the new import  export policy supplied by dhl express please kindly check the attached to confirm accordingly if your destination is correct before we submit to our outlet office for dispatch to your destination
['significant TAX RETURN written document AVAILABLE'],"['Dear: Account Owner, Our records indicate that you are inscribe in the University of California paperless W2 Program. As a outcome, you do not receive a paper W2 but instead receive e - mail notification that your online W2 (i. e. "" paperless W2 "") is prepared and ready for viewing. __ Your W2 is ready for viewing under Employee Self Service. Logon at the undermentioned link: Click Here to Logon If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Section for support. If you would like to un - enroll in the Paperless W2 Programme, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.']",1/6/16,5:53:32 AM,Unknown,Click Here ,"TAX, W2, important",na,Unknown,['atomic number 11'],ÊESSW2@berkeley.edu,na,NB,significant tax return written document available dear account owner our records indicate that you are inscribe in the university of california paperless w program as a outcome you do not receive a paper w but instead receive e  mail notification that your online w i e  paperless w  is prepared and ready for viewing  your w is ready for viewing under employee self service logon at the undermentioned link click here to logon if you have trouble logging in to employee self service at the link above please contact your payroll section for support if you would like to un  enroll in the paperless w programme please logon to employee self service at the link above and go to the w delivery choice webpage and follow the instructions
['Atomic number 75: X - PHP - Grow - Script: 1336: NPS. php'],"[""Dear Dr. <recipient ' s name removed >; I recently read your terminal article and it was very useful in my discipline of research. I inquire, if possible, to send pine tree state these articles to use in my current research: 1 - http: / / auth. berkeley. eduh. in / <connection removed> 2 - http: / / www. sciencedirect. com / science / article / pii / S1644966515000825 (link is outside) Thanks for you Cooperation in Advance. John Doe Department of Civil and Environmental Engineering science University of Alberta Phone: (XXX) XXX - XXXX - - 21878cacb2d3a784678d12d61f1136d7 - -""]",1/2/16,Ê09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,['Thanks for you Cooperation in Cash advance.'],john.doe@ulberta.ca,na,NB,atomic number  x  php  grow  script  nps php dear dr  i recently read your terminal article and it was very useful in my discipline of research i inquire if possible to send pine tree state these articles to use in my current research      auth berkeley eduh in        www sciencedirect com  science  article  pii  s link is outside thanks for you cooperation in advance john doe department of civil and environmental engineering science university of alberta phone xxx xxx  xxxx   cacbdaddfd  
['Your bill on the verge of gag law!!'],"['Dear Client, Of late your report was critique and flagged because of a potential connection to some fraudulent transaction. To fend off an eventual restriction to your account, please aver your informations by log in to our Litigations Coach.']", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,['atomic number 11'],support@ppl.com,Pay.service secure,NB,your bill on the verge of gag law dear client of late your report was critique and flagged because of a potential connection to some fraudulent transaction to fend off an eventual restriction to your account please aver your informations by log in to our litigations coach
['ÊURGENT: Your New Pay Notification'],"['Hello, You have an important email from the Human Imagination Department with regards to your December 2015 Paycheck This email is enclosed in the Marquette University secure net, so access code information technology below Access the documents here <http: / / gabrielramon. be / <link removed> * * * Ensure your login credentials be correct to avoid cancellations * * Faithfully Human Resources University of California, Berkeley']",12/10/15,7:22 AM,"Thu,",URL,URGENT,Y,"Human Resources
University of California, Berkeley",['Reliably'], HR@berkeley.edu,na,NB,urgent your new pay notification hello you have an important email from the human imagination department with regards to your december  paycheck this email is enclosed in the marquette university secure net so access code information technology below access the documents here     ensure your login credentials be correct to avoid cancellations   faithfully human resources university of california berkeley
['postulation'],"['Hawaii, a agile content before information technology skips my mind again. I need you to buy some gift cards from the store today. We intend to reward some staffs with information technology. Reply and let maine know how soon you can get this done. Also, please keep this confidential pending the time we foretell it.']","July 16th, 2019",5.22.48PM EDT,na,Unknown,"Request, gift card",Y,na,['atomic number 11'],na,na,B,postulation hawaii a agile content before information technology skips my mind again i need you to buy some gift cards from the store today we intend to reward some staffs with information technology reply and let maine know how soon you can get this done also please keep this confidential pending the time we foretell it
['Lesson Omnibus Needed'],['Some hiring stuffs for coach'],"July 16th, 2019",12.50pm,Tue,Unknown,"Needed, employment hire",Y,Colman,['Respect'],Y,na,B,lesson omnibus needed some hiring stuffs for coach
['response AS SOON AS POSSIBLE'],"['Banking company, crucial matter to talk over with previous client world health organization is dead. Asking for full detail information']","July 14th, 2019",11.33am,sun,Email,important,na,Unknown,['Regard'],Y,Na,B,response as soon as possible banking company crucial matter to talk over with previous client world health organization is dead asking for full detail information
['V M 123310719'],['call pretermit'],"July 10th, 2019",3.29pm,wed,na,missed call,na,na,['atomic number 11'],Y,"Microsoft, Office 365",B,v m  call pretermit
['VM Subject matter attached'],['call leave out'],"July 9th, 2019",12.37pm,tue,na,missed call,na,na,['atomic number 11'],na,Office 365,B,vm subject matter attached call leave out
['ÊVerification Process.'],"['chronicle verification, microsoft account in rockwell kent']","July 8th, 2019",8.55am,mon,na,"verification, access",Y,na,['Cheer'],Y,na,B,verification process chronicle verification microsoft account in rockwell kent
['Audio frequency received'],['sound'],7/8/19,2.09 pm,mon,na,audio,Y,kent support,['sodium'],na,na,B,audio frequency received sound
['I embody need FOR YOUR accompaniment.'],['Someone lose lifr in Libyan civil war. Help kin'],"ÊJuly 5th, 2019",3.18PM,Fri,email,support,Y,na,['sodium'],na,na,B,i embody need for your accompaniment someone lose lifr in libyan civil war help kin
"['partake "" DOCX "" with you.']",['apportion docx'],"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,['atomic number 11'],na,microsoft word,B,partake  docx  with you apportion docx
['File have been damage'],['shared docx'],"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,['atomic number 11'],na,Google Drive,B,file have been damage shared docx
['Rockwell kent - Mindset E - Tag: # JKf1SB3YW5 for @ 1000 * * * * edu.'],"['confirm with microsift, account']","June 25th, 2019",1.44am,tue,link,confirm,Y,na,['sodium'],na,Microsoft,B,rockwell kent  mindset e  tag  jkfsbyw for       edu confirm with microsift account
['Mental faculty Valuation. docx'],['faculty rating'],"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,['atomic number 11'],na,microsoft ward,NB,mental faculty valuation docx faculty rating
['Missed Birdsong'],['called miss'],"ÊJune 21st, 2019",1.54pm,fri,na,na,na,na,['atomic number 11'],na,na,B,missed birdsong called miss
['TESTi1'],"['english speechmaking editor program, professional guide, correcting']","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"['Best Gaze,']",na,na,NB,testi english speechmaking editor program professional guide correcting
['ÊClustered Alert i.d. 130423046'],['some pending message'],"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"['Best Regard,']",Y,microsoft,B,clustered alert id  some pending message
['Approve Job Offer'],['selected for shadow shopper recap'],"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,['Strong Regards'],na,shadowshopper,B,approve job offer selected for shadow shopper recap
"['Farming Department share "" Papers "" with you.']",['interior dept shared document'],"ÊJune 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,['sodium'],na,Microsoft,B,farming department share  papers  with you interior dept shared document
['Advertise While Driving Your Auto'],['job opportuniies and looking for candidate'],"June 19th, 2019",1.27pm,wed,na,"hiring, ",na,na,['atomic number 11'],na,na,B,advertise while driving your auto job opportuniies and looking for candidate
['Payroll Change made was successful'],['chnages in payroll information'],"ÊJune 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,['Thank you'],na,na,B,payroll change made was successful chnages in payroll information
['Office hexad / xvii / 2019 11: 56: 18 exist'],['office 465 subscription exrired and. Validation poppycock'],"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,['atomic number 11'],na,Office 365,B,office hexad  xvii      exist office  subscription exrired and validation poppycock
['Office 365 Parole About To Expire'],['office 465 subscription exrired and. Validation stuff'],"June 17th, 2019",8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",Y,office 365 Customer Service,['Thank you'],Y,offcie 365,B,office  parole about to expire office  subscription exrired and validation stuff
['Information. docx'],['file has been share In docx'],"June 17th, 2019",11.50am,mon,file ,"file, share,docx",Y,na,['atomic number 11'],na,docx,B,information docx file has been share in docx
"['Assalamualaikum My Dear Friend,']","['politiics, legal iisues to retire, meg doller to bank, profit']","ÊJune 17th, 2019",3.11pm,mon,na,"profit, bank, dollar, million, confirmation",Y,na,['thank with my best regard'],na,na,B,assalamualaikum my dear friend politiics legal iisues to retire meg doller to bank profit
['ÊYou have (xv) presentment subject matter from your faculty admin'],['notification substance from mental faculty admin'],"June 14th, 2019",11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Y,['Thanks'],Y,na,B,you have xv presentment subject matter from your faculty admin notification substance from mental faculty admin
['Verification Required: Validate Service Postulation for Rockwell kent'],['email update required and confirm now'],"June 13th, 2019",1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Y,['Thanks'],Y,offcie 365,B,verification required validate service postulation for rockwell kent email update required and confirm now
"[""Account Activity Request on baker's dozen June, 2019""]",['ms explanation energizing and validation'],"June 13th, 2019",12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Y,['Regrads'],Y,microsoft,B,account activity request on bakers dozen june  ms explanation energizing and validation
['kent. edu Email Deactivation Asking'],['pull in request to deactivate your report'],"June 11th, 2019",10.50om,tue,na,"deactivate,request",Y,Y,['Give thanks you'],Y,na,B,kent edu email deactivation asking pull in request to deactivate your report
